,Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,PCCC,Our Revolution,Sunrise,Sanders,AOC,Party Committee,Biden,Race,Lastname_x,Firstname_x,Num Endorcements,Ethnicity,Fuzzy_Firstname,Fuzzy_Lastname,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,Lastname_y,Firstname_y
0,"Jrmar ""JJ"" Jefferson",Male,Black,,,No,No,Texas,3/1/2022,Representative,1,7411,45,Made runoff,5607,76,Won,,,,,,,,,,False,Black,JEFFERSON,JRMAR,0,[],JRMAR,JEFFERSON,H2TX01146,"JEFFERSON, JRMAR",O,1,DEM,128130.6,0.0,93130.6,0.0,0.0,35000.0,0.0,73135.0,0.0,0.0,0.0,151876.02,53035.6,TX,1.0,,,,,,0.0,1960.0,12/31/2022,0.0,0.0,JEFFERSON,JRMAR
1,Stephen Kocen,Male,White,,,No,No,Texas,3/1/2022,Representative,1,2457,15,Lost,0,0,,,,,,,,,,,False,White,KOCEN,STEPHEN,0,[],STEPHEN,KOCEN,H2TX01153,"KOCEN, STEPHEN MARTIN",O,1,DEM,12273.0,0.0,9672.64,0.0,0.0,5609.04,0.0,3125.0,0.0,0.0,0.0,0.0,9148.0,TX,1.0,,,,,,0.0,0.0,11/08/2022,0.0,0.0,KOCEN,STEPHEN
2,Robin Fulford,Female,White,,,No,No,Texas,3/1/2022,Representative,2,17160,100,Won,0,0,,,,,,,,,,,False,White,FULFORD,ROBIN,0,[],ROBIN,FULFORD,H2TX02383,"FULFORD, ROBIN DAWN",C,1,DEM,231492.19,0.0,208303.18,0.0,0.0,23189.01,0.0,15595.55,0.0,0.0,0.0,15595.55,215896.64,TX,2.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,FULFORD,ROBIN
3,Doc Shelby,Male,Black,,,No,No,Texas,3/1/2022,Representative,3,8531,38,Lost,0,0,,,,,,,,,,,False,Black,SHELBY,DOC,0,[],DOC,SHELBY,H2TX04116,"SHELBY, DOC MR",C,1,DEM,8481.0,0.0,11620.77,0.0,370.0,-2769.77,0.0,0.0,0.0,0.0,0.0,3125.0,8481.0,TX,4.0,,,,,,0.0,0.0,03/31/2022,0.0,0.0,SHELBY,DOC
4,Sandeep Srivastava,Male,Asian,,,No,No,Texas,3/1/2022,Representative,3,13865,62,Won,0,0,,,,,,,,,,,False,Asian,SRIVASTAVA,SANDEEP,0,['Asian (Indian)'],SANDEEP,SRIVASTAVA,H2TX03274,"SRIVASTAVA, SANDEEP KUMAR",O,1,DEM,451102.93,0.0,447510.02,0.0,0.0,3592.91,1767.51,293233.73,0.0,0.0,0.0,293233.73,150101.69,TX,3.0,,,,,,6000.0,0.0,12/31/2022,0.0,0.0,SRIVASTAVA,SANDEEP
5,Kathleen Cordelia Bailey,Female,White,,,No,No,Texas,3/1/2022,Representative,5,9605,47,Lost,0,0,,,,,,,,,,,False,White,BAILEY,KATHLEEN,0,[],KATHLEEN,BAILEY,H2TX05238,"BAILEY, KATHLEEN CORDELIA",C,1,DEM,214285.69,0.0,214285.69,0.0,0.0,0.0,0.0,175000.0,0.0,91673.42,0.0,0.0,39245.74,TX,5.0,,,,,,0.0,0.0,08/04/2022,0.0,0.0,BAILEY,KATHLEEN
6,Tartisha Hill,Female,Black,,,No,No,Texas,3/1/2022,Representative,5,10689,53,Won,0,0,,,,,,,,,,,False,Black,HILL,TARTISHA,0,[],TARTISHA,HILL,H2TX05246,"HILL, TARTISHA A MRS.",C,1,DEM,13686.03,0.0,15319.52,0.0,928.0,-3212.65,0.0,0.0,0.0,0.0,0.0,0.0,10795.94,TX,5.0,,,,,,0.0,2890.09,12/31/2022,0.0,0.0,HILL,TARTISHA
7,Laura Jones,Female,White,,,No,No,Texas,3/1/2022,Representative,8,14496,100,Won,0,0,,,,,,,,,,,False,White,JONES,LAURA,0,[],LAURA,JONES,H0TX08145,"JONES, LAURA",O,1,DEM,42027.58,0.0,42917.95,0.0,1309.15,418.78,0.0,4150.0,0.0,2875.0,0.0,1277.7,37127.58,TX,8.0,,,,,,100.0,550.0,12/31/2022,0.0,0.0,JONES,LAURA
8,Trey J. Hunt,Male,White,Black,,No,No,Texas,3/1/2022,Representative,12,20561,100,Won,0,0,,,,,,,,,,,False,Black White,HUNT,TREY,0,[],TREY,HUNT,H2TX12085,"HUNT, TREY JOSEPH",C,1,DEM,50182.13,0.0,49483.33,0.0,0.0,698.8,8600.0,0.0,0.0,0.0,0.0,0.0,41582.13,TX,12.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,HUNT,TREY
9,Eugene Howard,Male,Black,,,No,No,Texas,3/1/2022,Representative,14,10619,50,Lost,0,0,,,,,,,,,,,False,Black,HOWARD,EUGENE,0,[],EUGENE,HOWARD,H2TX22159,"HOWARD, EUGENE",C,1,DEM,3532.0,0.0,3426.22,0.0,99.43,205.21,0.0,0.0,0.0,0.0,0.0,0.0,3532.0,TX,22.0,,,,,,0.0,0.0,02/17/2022,0.0,0.0,HOWARD,EUGENE
