,Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,2020 Election Stance,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Race,Lastname_x,Firstname_x,Fuzzy_Firstname,Fuzzy_Lastname,Num Endorcements,Ethnicity,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,Lastname_y,Firstname_y
0,Aditya A.D. Atholi,Male,Asian,,,No,No,Texas,3/1/22,Representative,1,6186,8,Lost,0,0,,No comment,No,,,,,,,,,Asian,ATHOLI,ADITYA,ADITYA,ATHOLI,0,['Asian (Indian)'],H2TX01104,"ATHOLI, ADITYA",O,2,REP,166327.7,0.0,166327.7,0.0,0.0,0.0,55005.57,2000.0,0.0,1510.45,0.0,0.0,104322.13,TX,1.0,,,,,,5000.0,0.0,03/31/2022,1182.15,0.0,ATHOLI,ADITYA
1,Nathaniel Moran,Male,White,,,No,No,Texas,3/1/22,Representative,1,51312,63,Won,0,0,,Raised questions,No,,,,,,,,,White,MORAN,NATHANIEL,NATHANIEL,MORAN,0,[],H2TX01112,"MORAN, NATHANIEL QUENTIN",O,2,REP,1051039.2,98467.51,932294.74,0.0,0.0,118744.46,18170.5,0.0,0.0,0.0,0.0,0.0,717620.01,TX,1.0,,,,,,204252.74,0.0,12/31/2022,3666.54,6000.0,MORAN,NATHANIEL
2,John Porro,Male,White,,,No,No,Texas,3/1/22,Representative,1,4238,5,Lost,0,0,,No comment,No,,,,,,,,,White,PORRO,JOHN,JOHN,PORRO,0,[],H2TX32125,"PORRO, JOHN CHARLES MR.",O,2,REP,72472.83,0.0,70666.67,0.0,0.0,1806.16,207.22,8651.78,0.0,8651.78,0.0,0.0,59496.56,TX,1.0,,,,,,0.0,2500.0,12/31/2022,110.0,0.0,PORRO,JOHN
3,Jameson Ellis,Male,White,,,No,Yes,Texas,3/1/22,Representative,2,10195,17,Lost,0,0,,Fully denied,No,,,,,,,,,White,ELLIS,JAMESON,JAMESON,ELLIS,0,[],H2TX08158,"ELLIS, JAMESON",O,2,REP,57012.92,0.0,54552.24,0.0,0.0,186.89,2380.0,0.0,0.0,0.0,0.0,0.0,54535.0,TX,2.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,ELLIS,JAMESON
4,Martin Etwop,Male,Black,,,No,Yes,Texas,3/1/22,Representative,2,2785,5,Lost,0,0,,Raised questions,No,,,,,,,,,Black,ETWOP,MARTIN,MARTIN,ETWOP,0,[],H2TX08232,"ETWOP, MARTIN",O,2,REP,20874.0,0.0,17013.5,0.0,0.0,3860.5,0.0,0.0,0.0,0.0,0.0,0.0,20874.0,TX,2.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,ETWOP,MARTIN
5,Jeremy D. Ivanovskis,Male,White,,,No,Yes,Texas,3/1/22,Representative,3,818,1,Lost,0,0,,Fully denied,No,,,,,,,,,White,IVANOVSKIS,JEREMY,JEREMY,IVANOVSKIS,0,[],H2TX03316,"IVANOVSKIS, JEREMY DANIEL",O,2,REP,6013.43,0.0,5728.43,0.0,0.0,285.0,533.73,0.0,0.0,0.0,0.0,7239.7,5479.7,TX,3.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,IVANOVSKIS,JEREMY
6,Keith Self,Male,White,,,No,Yes,Texas,3/1/22,Representative,3,17058,26,Won,0,0,,Fully denied,No,,,,,,,,,White,SELF,KEITH,KEITH,SELF,0,[],H2TX03290,"SELF, KEITH ALAN MR",O,2,REP,592898.76,0.0,563984.81,0.0,0.0,24913.95,28010.51,0.0,0.0,0.0,0.0,0.0,422338.25,TX,3.0,,,,,,142400.0,0.0,12/31/2022,6800.0,0.0,SELF,KEITH
7,Rickey Williams,Male,White,,,No,Yes,Texas,3/1/22,Representative,3,1731,3,Lost,0,0,,No comment,No,,,,,,,,,White,WILLIAMS,RICKEY,RICKEY,WILLIAMS,0,[],H2TX03308,"WILLIAMS, RICKEY",O,2,REP,3125.0,0.0,3125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3125.0,TX,3.0,,,,,,0.0,0.0,03/07/2022,0.0,0.0,WILLIAMS,RICKEY
8,John E. Harper,Male,White,,,No,Yes,Texas,3/1/22,Representative,4,7576,11,Lost,0,0,,No comment,No,,,,,,,,,White,HARPER,JOHN,JOHN,HARPER,0,[],H2TX04140,"HARPER, JOHN EDWARD SR.",C,2,REP,113733.51,0.0,113733.51,0.0,0.0,0.0,9510.61,100000.0,0.0,965.4,0.0,99034.6,3972.9,TX,4.0,,,,,,250.0,0.0,03/24/2022,317.9,0.0,HARPER,JOHN
9,Lance Gooden,Male,White,,,Yes,No,Texas,3/1/22,Representative,5,47692,100,Won,0,0,,Fully denied,Yes,2/16/22,,,,,,,,White,GOODEN,LANCE,LANCE,GOODEN,0,[],H8TX05144,"GOODEN, LANCE",I,2,REP,1038969.23,91525.12,1021285.68,0.0,452534.73,470218.28,0.0,0.0,0.0,0.0,0.0,0.0,396329.21,TX,5.0,,,,,,547614.9,2500.0,12/31/2022,0.0,0.0,GOODEN,LANCE
